p_val,avg_log2FC,pct.1,pct.2,p_val_adj,ratio,gene,,,,,,,,,,,
5.30036E-16,0.305273087,0.449,0.26,8.52509E-12,1.726923077,Sdhaf1,,,,,,,,,,,
1.56979E-37,0.305210892,0.308,0.06,2.52485E-33,5.133333333,Ttc3,,,,,,,,,,,
8.69029E-29,0.305139691,0.398,0.142,1.39775E-24,2.802816901,Smarca5,,,,,,,,,,,
2.17186E-31,0.304726271,0.282,0.062,3.49322E-27,4.548387097,Rfc4,,,,,,,,,,,
7.03053E-10,0.304320953,0.472,0.348,1.13079E-05,1.356321839,Ap2m1,,,,,,,,,,,
3.45087E-10,0.304193313,0.483,0.373,5.55039E-06,1.294906166,Chp1,,,,,,,,,,,
6.8858E-24,0.303799298,0.345,0.127,1.10751E-19,2.716535433,Actl6a,,,,,,,,,,,
1.42085E-05,0.303771664,0.797,0.839,0.228529741,0.949940405,Gm26917,,,,,,,,,,,
4.39965E-28,0.303417537,0.333,0.102,7.07639E-24,3.264705882,Pak1ip1,,,,,,,,,,,
2.3736E-24,0.303227958,0.395,0.165,3.81769E-20,2.393939394,Mcts1,,,,,,,,,,,
7.66753E-17,0.303204811,0.398,0.205,1.23324E-12,1.941463415,Dnajc7,,,,,,,,,,,
8.90833E-21,0.303037829,0.356,0.152,1.43282E-16,2.342105263,Psmg3,,,,,,,,,,,
6.5699E-39,0.302929337,0.28,0.043,1.0567E-34,6.511627907,Uaca,,,,,,,,,,,
7.93773E-11,0.302642028,0.41,0.269,1.2767E-06,1.524163569,Txnip,,,,,,,,,,,
2.67565E-24,0.302245696,0.336,0.12,4.30351E-20,2.8,Magohb,,,,,,,,,,,
6.82984E-15,0.302099826,0.432,0.251,1.09851E-10,1.721115538,Foxp1,,,,,,,,,,,
2.05299E-11,0.301729629,0.39,0.239,3.30203E-07,1.631799163,Akap9,,,,,,,,,,,
7.02948E-18,0.301696353,0.395,0.204,1.13062E-13,1.93627451,Tcea3,,,,,,,,,,,
4.76348E-16,0.301625475,0.393,0.213,7.66158E-12,1.845070423,Hadhb,,,,,,,,,,,
1.65397E-10,0.301496012,0.472,0.345,2.66024E-06,1.368115942,Arl6ip4,,,,,,,,,,,
4.63765E-36,0.301429142,0.282,0.051,7.4592E-32,5.529411765,Pvrl3,,,,,,,,,,,
8.31735E-22,0.301367247,0.314,0.114,1.33776E-17,2.754385965,Gss,,,,,,,,,,,
8.4313E-17,0.301303022,0.336,0.153,1.35609E-12,2.196078431,Usp34,,,,,,,,,,,
8.70416E-20,0.30088594,0.359,0.162,1.39998E-15,2.216049383,Phb,,,,,,,,,,,
3.09947E-23,0.300428361,0.395,0.168,4.98519E-19,2.351190476,Cnih1,,,,,,,,,,,
5.69191E-27,0.300197983,0.311,0.09,9.15487E-23,3.455555556,Rnf43,,,,,,,,,,,
4.51219E-17,0.300131091,0.37,0.176,7.2574E-13,2.102272727,Cldn2,,,,,,,,,,,
3.42413E-25,0.299942148,0.381,0.145,5.50736E-21,2.627586207,Smarce1,,,,,,,,,,,
5.30722E-24,0.299422835,0.342,0.121,8.53613E-20,2.826446281,Smarcc1,,,,,,,,,,,
1.47297E-08,0.29932978,0.743,0.732,0.000236913,1.015027322,Arf1,,,,,,,,,,,
